source_display,target_code,target_display
"PARACETAMOL NORMON 500 MG 500 COMPRIMIDOS",N02BE01,"Paracetamol"
"PARACETAMOL NORMON EFG 10 MG/ML 50 FRASCOS 100 ML SOL PERF",N02BE01,"Paracetamol"
"PIPERACILINA/TAZOBACTAM KABI EFG 2 G/250 MG 10 VIALES",J01CR05,"piperacillin and beta-lactamase inhibitor"
"PIPERACILINA/TAZOBACTAM KABI EFG 4 G/500 MG  10 VIALES",J01CR05,"piperacillin and beta-lactamase inhibitor"
"PIPERACILINA/TAZOBACTAM SALA 2 G/250 MG 2 G/250 MG 50 VIALES",J01CR05,"piperacillin and beta-lactamase inhibitor"
"PLAQUETAS",B01AC,"Platelet aggregation inhibitors excl. heparin"
"PLASMA FRESCO",B05AX03,"blood plasma"
"POLARAMINE JARABE 60 ML 2 MG/5 ML",R06AB02,"dexchlorpheniramine"
"PREDNISONA ALONGA 50 MG 30 COMPRIMIDOS",H02AB06,"prednisolone"
"PREDNISONA CINFA 10 MG 30 COMPRIMIDOS",H02AB06,"prednisolone"
"PREDNISONA CINFA EFG 30 MG 30 COMPRIMIDOS",H02AB06,"prednisolone"
"PREDNISONA CINFA EFG 5 MG 60 COMPRIMIDOS",H02AB06,"prednisolone"
"PREVENAR 13 1 JERINGA PREC 0.5 ML CON AGUJA",J07AL02,"pneumococcus, purified polysaccharides antigen conjugated"
"PROPRANOLOL 5 MG AMPOLLAS 5 ML",C07AA05,"propranolol"
"PROPRANOLOL 5 MG/1 ML SOL 30 ML FM",C07AA05,"propranolol"
"PROPRANOLOL 5 MG/1 ML SOL 50 ML FM",C07AA05,"propranolol"
"QUETIAPINA 10 MG/ML SUSPENSION ORAL 30 ML F.M.",N05AH04,"quetiapine"
"RANITIDINA NORMON 50 MG 100 AMPOLLAS 5 ML",A02BA02,"ranitidine"
"RANITIDINA SOLUCION 5 MG/ML FRASCO 100 ML F.M.",A02BA02,"ranitidine"
"REVATIO 20 MG 90 COMP. RECUB DOSIS UNITARIA",G04BE03,"sildenafil"
"REVATIO 50 MG/5 ML SUSPENSION ORAL 125 ML",G04BE03,"sildenafil"
"REXER FLAS 15 MG 30 COMPR BUCODISP",N06AX11,"mirtazapine"
"RIBOFLAVINA 25 MG/ML 30 ML SOL. ORAL (FM)",A11HA04,"riboflavin (vit B2)"
"RIFALDIN 100 MG/5 ML SUSP 120 ML",J04AB02,"rifampicin"
"RISPERIDONA STADA 1 MG/ML SOLUCION 30 ML",N05AX08,"risperidone"
"RIVOTRIL 2.5 MG/ML GOTAS 10 ML",N03AE01,"clonazepam"
"ROSALGIN 500 MG 20 SOBRES",G02CC03,"benzydamine"
"SALBUAIR 2.5 MG 60 AMPOLLAS UNIDOSIS INHALACION 2.5 ML",R03AC02,"salbutamol"
"SALBUAIR 5 MG 60 AMPOLLAS UNIDOSIS INHALACION 2.5 ML",R03AC02,"salbutamol"
"SALINA FRESENIUS KABI 0.9% 10 FRASCOS 500 ML",B05BB01,"electrolytes"
"SALINA FRESENIUS KABI 0.9% 40 FRASCOS 100 ML",B05BB01,"electrolytes"
"SALINA FRESENIUS KABI 0.9% 40 FRASCOS 50 ML",B05BB01,"electrolytes"
"SEGURIL 40 MG 30 COMPRIMIDOS",C03CA01,"furosemide"
